id,older,newer
68823,1855,
68824,1827,
68825,1925,
68826,1921,
68827,1948,
68828,1919,
68829,1948,
68831,1925,
68832,1917,
68833,1868,1869
68834,1923,
68835,1908,
68836,1948,
68837,1912,
68838,1923,
68839,1901,
68840,1926,
68841,1876,
68842,1948,
68843,1923,
68844,1918,
68845,1865,1866
68846,1916,
68847,1920,
68848,1921,
68849,1914,
68850,1925,
68851,1894,
68852,1888,
68853,1921,
68854,1920,
68855,1911,
68856,1914,
68857,1910,1923
68858,1899,
68859,1908,
68860,1952,
68861,1953,
68862,1911,
68863,1922,
68864,1855,
68865,1920,1921
68866,1882,
68867,1895,
68868,1924,
68869,1898,
68870,1906,
68871,1914,
68872,1900,
68873,1922,
68874,1923,
68875,1907,
68876,1924,
68877,1915,
68878,1924,
68879,1924,
68880,1912,
68881,1899,
68882,1900,
68883,1902,
68884,1912,
68885,1865,
68886,1902,
68887,1941,
68888,1906,
68889,1922,
68890,1915,
68891,1904,
68892,1952,
68893,1904,
68894,1903,
68895,1918,
68896,1923,
68897,1878,
68898,1902,
68899,1888,1902
68900,1914,
68901,1888,
68902,1924,
68903,1926,
68904,1948,
68905,1890,
68906,1907,
68907,1672,
68908,1922,
68909,1909,
68910,1915,
68911,1910,
68912,1917,
68913,1855,
68914,1901,
68915,1804,
68916,1804,
68917,1804,
68918,1919,
68919,1902,1903
68920,1905,
68921,1918,
68922,1897,
68923,1926,
68924,1910,
68925,1839,1843
68926,1879,
68927,1907,
68928,1914,1915
68929,1890,
68930,1920,
68931,1872,1884
68932,1902,
68933,1899,
68934,1918,
68935,1922,
68936,1892,1900
68937,1910,1923
68938,1850,
68939,1918,
68940,1913,
68941,1913,
68942,1926,
68943,1923,
68944,1902,
68945,1919,
68946,1886,
68947,1863,
68948,1906,
68949,1923,
68950,1918,
68951,1920,
68952,1910,
68953,1849,
68954,1895,
68955,1895,
68956,1898,
68957,1923,
68958,1860,
68961,1883,
68962,1917,
68963,1908,
68964,1920,
68965,1913,
68966,1891,
68967,1951,
68969,1919,
68970,1916,
68971,1914,
68972,1852,
68973,1879,
68974,1911,
68975,1920,
68976,1771,
68977,1912,
68978,1835,
68979,1904,
68980,1904,
68981,1897,
68983,1920,
68984,1920,
68985,1921,
68986,1903,
68987,1919,
68988,1921,
68989,1920,
68990,1915,
68991,1949,
68993,1890,
68994,1890,
68995,1914,
68996,1901,
68997,1836,
68998,1920,
68999,1904,
69000,1912,
69001,1922,
69002,1912,
69003,1924,
69004,1919,
69005,1901,
69006,1923,
69007,1891,
69008,1889,
69009,1952,
69010,1899,
69011,1925,
69012,1885,
69013,1872,
69014,1906,
69015,1865,
69016,1910,
69017,1907,
69018,1887,
69019,1911,
69020,1910,1923
69021,1912,
69022,1908,
69023,1901,
69024,1910,
69025,1900,1905
69026,1922,
69027,1925,
69029,1851,
69030,1917,
69031,1911,
69032,1897,1906
69033,1909,
69034,1909,
69035,1923,
69036,1874,
69037,1918,
69038,1915,
69039,1918,1960
69040,1893,
69041,1910,1923
69042,1952,
